id,order,score,weight,color,label
G4,1,1552,1,#C32F4B,h4x0r HuSsY
DR,2,1138,1,#E1514B,dr.m1st3r
W4,3,1089,1,#F47245,w4l3XzY3
GA,4,1055,1,#FB9F59,Gabby
WA,5,974,0.5,#FEC574,Waledac
ST,6,852,0.5,#FAE38C,sTeeL
IN,7,732,0.5,#EAF195,Index Php
TH,8,680,0.5,#C7E89E,the_warri0r
MR,9,640,0.5,#9CD6A4,Mr. DellatioNx196
ED,10,638,0.5,#6CC4A4,EDZw4sS!m
K1,11,339,0.5,#4D9DB4,K1nGnCa
CO,12,320,0.5,#4776B4,CoupDeGrace
CR,13,318,0.5,#5E4EA1,CrAzY HaCkEr
CE,14,303,0.5,#FFCC33,CeLLaTReiS
YU,15,288,0.5,#996633,YunusIncredibl
HA,16,287,0.5,#CC9999,HaYaL-ET-06
GR,17,253,0.5,#00FF99,grub_err0r
